target,text,自我导向,刺激,享乐主义,成就,权力,安全,传统,遵从,慈善,大同主义
80后丁克夫妻存到300万后提前退休,萝卜菠菜各有所爱,1,0,1,1,0,0,1,0,0,0
80后丁克夫妻存到300万后提前退休,"后面的路还很长,万一有什么用大钱的事呢,我感觉,100万差点意思要是有,1000万差不多了",1,0,1,1,0,1,1,0,0,0
80后丁克夫妻存到300万后提前退休,"比上不足比下有余,欲望能控制,人生就自由多了",1,0,1,1,0,0,1,0,0,0
80后丁克夫妻存到300万后提前退休,安全感实在是很难以金钱数量来衡量的,1,0,1,1,0,1,1,0,0,0
80后丁克夫妻存到300万后提前退休,"自己的生活自己支配,足够的资金,健康的身体,潇洒走一回",1,0,1,1,0,1,1,0,0,0
乘客地铁脱鞋，男子将鞋踢出车厢,虽然道德上谴责，但是很爽，一般这些人味是真的大，就好像十年没洗过脚专门上地铁来熏人的一样,1,0,0,0,0,1,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,这不挺好的么？比起将人踢出车厢，踢鞋子显得既文明又礼貌,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,挺好的，反正钱多赔人家一双鞋就好了,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,在自己被臭死之际踢出鞋子，拯救乘客于危难，干的漂亮,1,0,0,0,0,1,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,下次我也试试,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,虽然不建议这样，但是只能说干得漂亮,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,好像没毛病,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,别说是公共场所了，哪怕是自己家里都有家规任何地方都该有规矩，谁都随心所欲岂不是要乱套,1,0,0,0,0,0,0,1,0,1
